Elements: All (Neon - Fermium)
Transitions: KL2 (Kalpha2), KL3 (Kalpha1), KM2 (Kbeta3), KM3 (Kbeta1), KM4 (Kbeta5 II), KM5 (Kbeta5 I), KN2 (Kbeta2 II), KN3 (Kbeta2 I), KN4 (Kbeta4 II), KN5 (Kbeta4 I), L2M4 (Lbeta1), L3M4 (Lalpha2), L3M5 (Lalpha1), and L3N5 (Lbeta2)
Sorted by Element

Ele.	A	Trans.	Theory (eV)	Unc. (eV)	Direct (eV)	Unc. (eV)	Blend	Ref.
V		L3M4	513.54	0.63	511.27	0.94	L3M4,5	1d
V		L3M5			511.27	0.94	L3M4,5	1d
Cr		KL2	5404.06	0.45	5405.5384	0.0071		7d
Cr		KL3	5413.88	0.42	5414.8045	0.0071		7d
Cr		KM2	5940.74	0.92	5946.823	0.011	KM2,3	7d
Cr		KM3	5947.10	1.00	5946.823	0.011	KM2,3	7d
Cr		KM4	5986.82	0.46	5986.97	0.26	KM4,5	1d
Cr		KM5	5990.83	0.12	5986.97	0.26	KM4,5	1d
Cr		L2M4	582.76	0.67	582.90	0.41		1d
Cr		L3M4	572.94	0.64	572.9	1.2	L3M4,5	1d
Cr		L3M5	576.95	0.30	572.9	1.2	L3M4,5	1d
Mn		KL2	5886.20	0.45	5887.6859	0.0084		7d
Mn		KL3	5898.10	0.42	5898.8010	0.0084		7d
Mn		KM2	6485.39	0.96	6490.585	0.014	KM2,3	7d
Mn		KM3	6492.7	1.0	6490.585	0.014	KM2,3	7d
Mn		KM4	6537.52	0.48	6535.36	0.51	KM4,5	1d
Mn		KM5	6538.54	0.51	6535.36	0.51	KM4,5	1d
Mn		L2M4	651.32	0.69	648.8	1.0		1d
Mn		L3M4	639.42	0.66	637.44	0.49	L3M4,5	1d
Mn		L3M5	640.44	0.69	637.44	0.49	L3M4,5	1d
Fe		KL2	6389.51	0.46	6391.0264	0.0099		7d
Fe		KL3	6403.13	0.43	6404.0062	0.0099		7d
Fe		KM2	7053.23	1.00	7058.175	0.016	KM2,3	7d
Fe		KM3	7059.9	1.1	7058.175	0.016	KM2,3	7d
Fe		KM4	7110.59	0.50	7108.26	0.60	KM4,5	1d
Fe		KM5	7111.50	0.52	7108.26	0.60	KM4,5	1d
Fe		L2M4	721.07	0.70	718.32	0.62		1d
Fe		L3M4	707.46	0.67	704.8	1.2	L3M4,5	1d
Fe		L3M5	708.38	0.70	704.8	1.2	L3M4,5	1d
Co		KL2	6914.08	0.47	6915.5380	0.0039		7d
Co		KL3	6929.63	0.43	6930.3780	0.0039		7d
Co		KM2	7645.5	1.0	7649.445	0.014	KM2,3	7d
Co		KM3	7651.5	1.1	7649.445	0.014	KM2,3	7d
Co		KM4	7708.35	0.52	7705.98	0.21	KM4,5	1d
Co		KM5	7709.15	0.54	7705.98	0.21	KM4,5	1d
Co		L2M4	794.27	0.72	791.41	0.60		1d
Co		L3M4	778.71	0.69	776.25	0.43	L3M4,5	1d
Co		L3M5	779.52	0.71	776.25	0.43	L3M4,5	1d
Ni		KL2	7459.96	0.47	7461.0343	0.0045		7d
Ni		KL3	7477.72	0.44	7478.2521	0.0045		7d
Ni		KM2	8262.4	1.1	8264.775	0.017	KM2,3	7d
Ni		KM3	8267.6	1.1	8264.775	0.017	KM2,3	7d
Ni		KM4	8330.91	0.54	8328.68	0.33	KM4,5	1d
Ni		KM5	8331.59	0.56	8328.68	0.33	KM4,5	1d
Ni		L2M4	870.95	0.74	868.77	0.54		1d
Ni		L3M4	853.19	0.71	851.47	0.26	L3M4,5	1d
Ni		L3M5	853.87	0.72	851.47	0.26	L3M4,5	1d
Cu		KL2	8028.38	0.48	8027.8416	0.0026		7d
Cu		KL3	8048.11	0.45	8047.8227	0.0026		7d
Cu		KM2	8904.0	1.1	8905.413	0.038	KM2,3	7d
Cu		KM3	8906.9	1.2	8905.413	0.038	KM2,3	7d
Cu		KM4	8977.49	0.56	8977.14	0.29	KM4,5	1d
Cu		KM5	8977.82	0.58	8977.14	0.29	KM4,5	1d
Cu		L2M4	949.11	0.76	949.84	0.32		1d
Cu		L3M4	929.38	0.72	929.68	0.31	L3M4,5	1d
Cu		L3M5	929.71	0.74	929.68	0.31	L3M4,5	1d
Zn		KL2	8616.22	0.50	8615.823	0.073		1,6d
Zn		KL3	8639.10	0.45	8638.906	0.073		1,6d
Zn		KM2	9570.8	1.2	9572.03	0.22	KM2,3	1d
Zn		KM3	9573.6	1.2	9572.03	0.22	KM2,3	1d
Zn		KM4	9650.97	0.59	9649.9	1.1	KM4,5	1d
Zn		KM5	9651.31	0.59	9649.9	1.1	KM4,5	1d
Zn		KN2			9658.05	0.22	KN2,3	1d
Zn		KN3			9658.05	0.22	KN2,3	1d
Zn		L2M4	1034.76	0.80	1034.65	0.38		1d
Zn		L3M4	1011.87	0.75	1011.77	0.37	L3M4,5	1d
Zn		L3M5	1012.21	0.75	1011.77	0.37	L3M4,5	1d
Ga		KL2	9225.10	0.49	9224.835	0.027		3d
Ga		KL3	9251.89	0.45	9251.674	0.066		3d
Ga		KM2	10261.8	1.1	10260.28	0.64		1,3d
Ga		KM3	10265.8	1.2	10264.19	0.29		1,3d
Ga		KM4	10349.92	0.60	10348.2	2.6	KM4,5	1d
Ga		KM5	10350.49	0.61	10348.2	2.6	KM4,5	1d
Ga		KN2	10370.50	0.21	10366.42	0.26	KN2,3	1d
Ga		KN3			10366.42	0.26	KN2,3	1d
Ga		L2M4	1124.82	0.79	1124.76	0.30		1d
Ga		L3M4	1098.03	0.75	1097.97	0.14	L3M4,5	1d
Ga		L3M5	1098.59	0.76	1097.97	0.14	L3M4,5	1d
Ge		KL2	9855.67	0.51	9855.42	0.10		1d
Ge		KL3	9886.67	0.46	9886.52	0.11		1d
Ge		KM2	10979.4	1.3	10978.1	1.3		1d
Ge		KM3	10984.0	1.3	10982.19	0.29		1d
Ge		KM4	11074.59	0.63	11074.8	1.5	KM4,5	1d
Ge		KM5	11075.33	0.63	11074.8	1.5	KM4,5	1d
Ge		KN2	11105.84	0.37	11100.97	0.29	KN2,3	1d
Ge		KN3			11100.97	0.29	KN2,3	1d
Ge		L2M4	1218.91	0.82	1218.50	0.18		1d
Ge		L3M4	1187.91	0.78	1188.01	0.13	L3M4,5	1d
Ge		L3M5	1188.66	0.78	1188.01	0.13	L3M4,5	1d
As		KL2	10507.84	0.51	10507.50	0.15		3d
As		KL3	10543.48	0.47	10543.2674	0.0081		3d
As		KM2	11721.6	1.2	11719.86	0.84		1,3d
As		KM3	11727.1	1.2	11725.73	0.37		1,3d
As		KM4	11825.05	0.64	11821.4	1.7	KM4,5	1d
As		KM5	11825.89	0.65	11821.4	1.7	KM4,5	1d
As		KN2	11867.94	0.64	11864.34	0.50	KN2,3	1d
As		KN3	11866.38	0.23	11864.34	0.50	KN2,3	1d
As		L2M4	1317.21	0.82	1316.99	0.17		1d
As		L3M4	1281.56	0.79	1282.01	0.16	L3M4,5	1d
As		L3M5	1282.41	0.79	1282.01	0.16	L3M4,5	1d
Se		KL2	11181.82	0.52	11181.53	0.31		3d
Se		KL3	11222.55	0.48	11222.52	0.12		3d
Se		KM2	12490.3	1.2	12489.73	1.00		1,3d
Se		KM3	12496.5	1.2	12496.03	0.67		1,3d
Se		KM4	12601.47	0.68	12596.0	1.9	KM4,5	1d
Se		KM5	12602.42	0.67	12596.0	1.9	KM4,5	1d
Se		KN2	12656.38	0.73	12652.29	0.96	KN2,3	1d
Se		KN3	12655.11	0.33	12652.29	0.96	KN2,3	1d
Se		L2M4	1419.65	0.84	1419.24	0.12		1d
Se		L3M4	1378.92	0.80	1379.11	0.11	L3M4,5	1d
Se		L3M5	1379.88	0.80	1379.11	0.11	L3M4,5	1d
Br		KL2	11877.69	0.53	11877.75	0.34		1d
Br		KL3	11924.02	0.48	11924.36	0.34		1d
Br		KM2	13284.8	1.2	13284.7	1.1		1d
Br		KM3	13292.1	1.2	13291.56	0.42		1d
Br		KM4	13403.97	0.70	13396.3	2.1	KM4,5	1d
Br		KM5	13405.04	0.70	13396.3	2.1	KM4,5	1d
Br		KN2	13471.50	0.71	13469.60	0.43	KN2,3	1d
Br		KN3	13470.84	0.41	13469.60	0.43	KN2,3	1d
Br		L2M4	1526.28	0.86	1525.92	0.14		1d
Br		L3M4	1479.95	0.82	1480.46	0.13	L3M4,5	1d
Br		L3M5	1481.02	0.81	1480.46	0.13	L3M4,5	1d
Kr		KL2	12595.58	0.54	12595.424	0.056		3d
Kr		KL3	12648.00	0.49	12648.002	0.052		3d
Kr		KM2	14105.7	1.3	14104.96	0.11		3d
Kr		KM3	14113.3	1.2	14112.815	0.080		3d
Kr		KM4	14232.63	0.72	14237.7	4.8	KM4,5	1d
Kr		KM5	14233.88	0.72	14237.7	4.8	KM4,5	1d
Kr		KN2	14313.43	0.59	14315.0	2.4	KN2,3	1d
Kr		KN3	14314.10	0.58	14315.0	2.4	KN2,3	1d
Kr		KN4			14328.2	4.9	KN4,5	1d
Kr		KN5			14328.2	4.9	KN4,5	1d
Kr		L2M4	1637.05	0.87	1636.876	0.021		3d
Kr		L3M4	1584.63	0.83	1585.411	0.026	L3M4,5	3d
Kr		L3M5	1585.88	0.83	1585.411	0.026	L3M4,5	3d
Rb		KL2	13335.75	0.56	13335.88	0.21		1d
Rb		KL3	13395.05	0.51	13395.49	0.19		1d
Rb		KM2	14952.7	1.3	14951.86	0.80		1d
Rb		KM3	14961.6	1.2	14961.42	0.53		1d
Rb		KM4	15088.21	0.76	15084.8	2.7	KM4,5	1d
Rb		KM5	15089.65	0.75	15084.8	2.7	KM4,5	1d
Rb		KN2	15185.59	0.61	15185.54	0.83	KN2,3	1d
Rb		KN3	15186.55	0.61	15185.54	0.83	KN2,3	1d
Rb		KN4			15205.1	5.5	KN4,5	1d
Rb		KN5			15205.1	5.5	KN4,5	1d
Rb		L2M4	1752.46	0.90	1752.18	0.11		1d
Rb		L3M4	1693.16	0.85	1692.57	0.10		1d
Rb		L3M5	1694.60	0.84	1694.141	0.069		1d
Sr		KL2	14098.01	0.57	14098.03	0.24		1d
Sr		KL3	14164.80	0.51	14165.20	0.24		1d
Sr		KM2	15826.2	1.3	15825.17	0.90		1d
Sr		KM3	15836.3	1.2	15835.89	0.60		1d
Sr		KM4	15970.20	0.77	15968.9	3.0	KM4,5	1d
Sr		KM5	15971.90	0.76	15968.9	3.0	KM4,5	1d
Sr		KN2	16085.68	0.68	16084.68	0.93	KN2,3	1d
Sr		KN3	16086.84	0.41	16084.68	0.93	KN2,3	1d
Sr		KN4			16103.9	1.5	KN4,5	1d
Sr		KN5			16103.9	1.5	KN4,5	1d
Sr		L2M4	1872.19	0.92	1871.74	0.13		1d
Sr		L3M4	1805.40	0.86	1804.77	0.12		1d
Sr		L3M5	1807.10	0.85	1806.585	0.078		1d
Y		KL2	14883.00	0.58	14882.94	0.26		1d
Y		KL3	14958.14	0.53	14958.54	0.27		1d
Y		KM2	16726.8	1.3	16725.9	1.0		1d
Y		KM3	16738.4	1.2	16738.08	0.67		1d
Y		KM4	16879.20	0.81	16879.8	3.4	KM4,5	1d
Y		KM5	16881.39	0.79	16879.8	3.4	KM4,5	1d
Y		KN2	17012.08	0.62	17015.6	1.4	KN2,3	1d
Y		KN3	17015.30	0.49	17015.6	1.4	KN2,3	1d
Y		KN4	17040.90	0.59	17036.2	1.7	KN4,5	1d
Y		KN5			17036.2	1.7	KN4,5	1d
Y		L2M4	1996.20	0.93	1995.85	0.14		1d
Y		L3M4	1921.07	0.88	1920.48	0.13		1d
Y		L3M5	1923.26	0.86	1922.564	0.088		1d
Zr		KL2	15690.61	0.60	15690.645	0.050		3d
Zr		KL3	15774.87	0.54	15774.914	0.054		3d
Zr		KM2	17654.1	1.3	17652.628	0.075		3d
Zr		KM3	17667.4	1.2	17666.578	0.076		3d
Zr		KM4	17815.21	0.83	17816.1	3.8	KM4,5	1d
Zr		KM5	17817.98	0.81	17816.1	3.8	KM4,5	1d
Zr		KN2	17966.67	0.73	17970.3	1.5	KN2,3	1d
Zr		KN3	17971.47	0.56	17970.3	1.5	KN2,3	1d
Zr		KN4	18000.09	0.75	17994.3	1.9	KN4,5	1d
Zr		KN5			17994.3	1.9	KN4,5	1d
Zr		L2M4	2124.59	0.94	2124.394	0.028		3d
Zr		L3M4	2040.34	0.89	2040.19	0.16		3d
Zr		L3M5	2043.11	0.87	2042.489	0.027		3d
Zr		L3N5			2219.40	0.18	L3N4,5	1d
Nb		KL2	16521.35	0.62	16521.28	0.33		1d
Nb		KL3	16615.65	0.56	16615.16	0.33		1d
Nb		KM2	18608.8	1.4	18606.5	1.2		1d
Nb		KM3	18624.0	1.2	18622.68	0.83		1d
Nb		KM4	18778.45	0.87				
Nb		KM5	18782.22	0.85				
Nb		KN2	18948.34	0.90	18952.9	1.7	KN2,3	1d
Nb		KN3	18955.56	0.63	18952.9	1.7	KN2,3	1d
Nb		KN4	18985.99	0.83	18981.3	2.2	KN4,5	1d
Nb		KN5			18981.3	2.2	KN4,5	1d
Nb		L2M4	2257.11	0.96	2257.38	0.18		1d
Nb		L3M4	2162.80	0.90	2163.02	0.17		1d
Nb		L3M5	2166.57	0.88	2165.89	0.11		1d
Nb		L3N5			2367.02	0.20	L3N4,5	1d
Mo		KL2	17374.18	0.62	17374.29	0.29		5d
Mo		KL3	17479.10	0.55	17479.372	0.010		5d
Mo		KM2	19589.9	1.4	19590.25	0.41		1,5d
Mo		KM3	19607.1	1.2	19608.34	0.42		1,5d
Mo		KM4	19768.70	0.89	19771.4	2.3		1d
Mo		KM5	19772.81	0.85	19776.4	2.3		1d
Mo		KN2	19960.0	1.1	19965.27	0.95	KN2,3	1d
Mo		KN3	19967.16	0.68	19965.27	0.95	KN2,3	1d
Mo		KN4	20000.73	0.83	19996.8	4.3	KN4,5	1d
Mo		KN5	19999.84	0.35	19996.8	4.3	KN4,5	1d
Mo		L2M4	2394.52	0.97	2394.831	0.055		1d
Mo		L3M4	2289.60	0.92	2289.875	0.050		1d
Mo		L3M5	2293.71	0.89	2293.187	0.050		1d
Mo		L3N5	2520.74	0.38	2518.33	0.15	L3N4,5	1d
Tc		KL2	18251.28	0.65	18250.9	1.2		1d
Tc		KL3	18367.56	0.58	18367.2	1.2		1d
Tc		KM2	20599.4	1.4	20599.2	2.0		1d
Tc		KM3	20618.7	1.2	20619.0	2.0		1d
Tc		KM4	20787.80	0.92				
Tc		KM5	20792.02	0.89				
Tc		KN2	20999.2	1.4	21005.4	2.6	KN2,3	1d
Tc		KN3	21006.03	0.79	21005.4	2.6	KN2,3	1d
Tc		KN4	21042.72	0.85				
Tc		KN5	21043.05	0.75				
Tc		L2M4	2536.52	0.99	2536.83	0.61		1d
Tc		L3M4	2420.24	0.93				
Tc		L3M5	2424.46	0.90	2423.99	0.21		1d
Tc		L3N5	2675.49	0.76				
Ru		KL2	19150.67	0.66	19150.49	0.18		1,5d
Ru		KL3	19279.51	0.60	19279.16	0.18		1,5d
Ru		KM2	21635.7	1.4	21634.65	0.16		1,5d
Ru		KM3	21657.5	1.2	21656.75	0.16		1,5d
Ru		KM4	21833.74	0.95	21828	11		1d
Ru		KM5	21838.57	0.92	21833.6	5.1		1d
Ru		KN2	22071.1	1.7	22074.3	1.7	KN2,3	1d
Ru		KN3	22077.45	0.88	22074.3	1.7	KN2,3	1d
Ru		KN4	22117.30	0.84	22104.6	5.2	KN4,5	1d
Ru		KN5	22117.91	0.83	22104.6	5.2	KN4,5	1d
Ru		L2M4	2683.1	1.0	2683.263	0.026		1d
Ru		L3M4	2554.23	0.94	2554.330	0.055		1d
Ru		L3M5	2559.06	0.91	2558.579	0.039		1d
Ru		L3N5	2838.40	0.82	2835.96	0.19	L3N4,5	1d
Rh		KL2	20073.48	0.67	20073.67	0.20		1,5d
Rh		KL3	20215.75	0.60	20216.12	0.20		1,5d
Rh		KM2	22699.8	1.4	22698.83	0.17		1,5d
Rh		KM3	22724.1	1.2	22723.59	0.17		1,5d
Rh		KM4	22907.81	0.97	22909.6	5.6		1d
Rh		KM5	22913.04	0.94	22916.8	5.6		1d
Rh		KN2	23169.9	2.1	23173.0	1.3	KN2,3	1d
Rh		KN3	23175.60	0.96	23173.0	1.3	KN2,3	1d
Rh		KN4	23218.69	0.83	23217.2	5.8	KN4,5	1d
Rh		KN5	23219.47	0.87	23217.2	5.8	KN4,5	1d
Rh		L2M4	2834.3	1.0	2834.439	0.038		1d
Rh		L3M4	2692.06	0.96	2692.078	0.078		1d
Rh		L3M5	2697.29	0.92	2696.775	0.078		1d
Rh		L3N5	3003.73	0.86	3001.27	0.22	L3N4,5	1d
Pd		KL2	21020.61	0.70	21020.15	0.22		1,5d
Pd		KL3	21177.25	0.64	21177.08	0.17		1,5d
Pd		KM2	23792.0	1.3	23791.12	0.19		1,5d
Pd		KM3	23819.5	1.2	23818.69	0.19		1,5d
Pd		KM4	24011.0	1.0	23995.0	6.2	KM4,5	1d
Pd		KM5	24016.22	0.99	23995.0	6.2	KM4,5	1d
Pd		KN2	24297.2	2.2	24299.40	0.28	KN2,3	1d
Pd		KN3	24302.2	2.4	24299.40	0.28	KN2,3	1d
Pd		KN4	24348.74	0.89	24344	14	KN4,5	1d
Pd		KN5	24349.18	0.88	24344	14	KN4,5	1d
Pd		L2M4	2990.4	1.0	2990.250	0.053		1d
Pd		L3M4	2833.74	0.98	2833.312	0.067		1d
Pd		L3M5	2838.97	0.95	2838.638	0.048		1d
Pd		L3N5	3171.93	0.84	3171.820	0.048	L3N4,5	1d
Ag		KL2	21990.67	0.72	21990.30	0.10		5d
Ag		KL3	22162.99	0.66	22162.917	0.030		5d
Ag		KM2	24912.8	1.5	24911.54	0.30		1,5d
Ag		KM3	24943.1	1.3	24942.42	0.30		1,5d
Ag		KM4	25141.7	1.1	25145.5	1.5	KM4,5	1d
Ag		KM5	25147.6	1.0	25145.5	1.5	KM4,5	1d
Ag		KN2	25455.6	2.9	25456.71	0.31	KN2,3	1d
Ag		KN3	25457.8	2.0	25456.71	0.31	KN2,3	1d
Ag		KN4	25509.99	0.91	25511.8	3.1	KN4,5	1d
Ag		KN5	25510.83	0.99	25511.8	3.1	KN4,5	1d
Ag		L2M4	3151.1	1.0	3150.974	0.036		1d
Ag		L3M4	2978.72	0.99	2978.240	0.053		1d
Ag		L3M5	2984.60	0.95	2984.340	0.032		1d
Ag		L3N5	3347.84	0.92	3347.842	0.040	L3N4,5	1d
Cd		KL2	22984.48	0.75	22984.05	0.20		1,5d
Cd		KL3	23173.73	0.67	23173.98	0.20		1,5d
Cd		KM2	26061.4	1.5	26061.32	0.39		1,5d
Cd		KM3	26095.1	1.3	26095.44	0.39		1,5d
Cd		KM4	26301.2	1.1				
Cd		KM5	26307.8	1.1				
Cd		KN2	26644.1	3.5	26644.07	0.59	KN2,3	1d
Cd		KN3	26643.5	1.6	26644.07	0.59	KN2,3	1d
Cd		KN4	26701.15	0.88				
Cd		KN5	26702.5	1.1				
Cd		L2M4	3316.7	1.1	3316.605	0.053		1d
Cd		L3M4	3127.5	1.0	3126.950	0.070		1d
Cd		L3M5	3134.06	0.96	3133.755	0.047		1d
Cd		L3N5	3528.74	0.97	3528.159	0.059	L3N4,5	1d
In		KL2	24002.31	0.77	24002.03	0.28		1,5d
In		KL3	24209.78	0.69	24209.75	0.22		1,5d
In		KM2	27238.6	1.5	27237.50	0.25		1,5d
In		KM3	27276.1	1.3	27275.55	0.25		1,5d
In		KM4	27489.7	1.1	27491.8	1.8		1d
In		KM5	27497.1	1.1	27499.1	1.8		1d
In		KN2	27860.7	3.6	27861.20	0.93	KN2,3	1d
In		KN3	27860.9	1.7	27861.20	0.93	KN2,3	1d
In		KN4	27923.03	0.99	27928.4	3.7	KN4,5	1d
In		KN5	27924.2	1.0	27928.4	3.7	KN4,5	1d
In		L2M4	3487.3	1.1	3487.244	0.058		1d
In		L3M4	3279.9	1.0	3279.322	0.077		1d
In		L3M5	3287.28	0.97	3286.982	0.052		1d
In		L3N5	3714.37	0.92	3713.847	0.049	L3N4,5	1d
Sn		KL2	25044.30	0.79	25044.04	0.23		1,5d
Sn		KL3	25271.34	0.72	25271.36	0.23		1,5d
Sn		KM2	28444.7	1.6	28444.43	0.33		1,5d
Sn		KM3	28486.4	1.3	28486.26	0.33		1,5d
Sn		KM4	28707.3	1.2	28710.2	3.0		1d
Sn		KM5	28715.6	1.1	28716.2	3.0		1d
Sn		KN2	29096.05	0.80	29109.64	0.81	KN2,3	1d
Sn		KN3	29109.2	1.8	29109.64	0.81	KN2,3	1d
Sn		KN4	29175.4	1.1	29175.7	3.0	KN4,5	1d
Sn		KN5	29176.7	1.1	29175.7	3.0	KN4,5	1d
Sn		L2M4	3663.1	1.1	3662.839	0.048		1d
Sn		L3M4	3436.0	1.0	3437.356	0.056		1d
Sn		L3M5	3444.29	0.98	3444.011	0.042		1d
Sn		L3N5	3905.32	0.95	3904.894	0.055	L3N4,5	1d
Sb		KL2	26110.73	0.82	26110.78	0.25		1,5d
Sb		KL3	26358.69	0.74	26358.86	0.25		1,5d
Sb		KM2	29680.0	1.6	29679.20	0.29		1,5d
Sb		KM3	29726.0	1.4	29725.53	0.22		1,5d
Sb		KM4	29954.6	1.2	29956.1	1.1		1d
Sb		KM5	29963.8	1.2	29963.3	1.1		1d
Sb		KN2	30387.1	4.3	30389.84	0.55	KN2,3	1d
Sb		KN3	30388.0	1.9	30389.84	0.55	KN2,3	1d
Sb		KN4	30458.3	1.1	30461.0	1.1	KN4,5	1d
Sb		KN5	30459.7	1.1	30461.0	1.1	KN4,5	1d
Sb		L2M4	3843.9	1.1	3843.615	0.071		1d
Sb		L3M4	3595.9	1.0	3595.358	0.093		1d
